mu_g,b,Gamma_sch_ratio,Ecrit_ratio,Gamma_inst_mean,Gamma_total_ratio
0.1,0.0,1.1339490803188575e+18,9.39504570637385e-16,0.05,1.1339490803188575e+18
0.1,2.0,1.32494037760449e+18,9.39504570637385e-16,0.05,1.32494037760449e+18
0.1,4.0,1.568585306251459e+18,9.39504570637385e-16,0.05,1.568585306251459e+18
0.1,6.0,1.886179023284719e+18,9.39504570637385e-16,0.05,1.886179023284719e+18
0.1,8.0,2.310981027739078e+18,9.39504570637385e-16,0.05,2.310981027739078e+18
0.1,10.0,2.8972909154701005e+18,9.39504570637385e-16,0.05,2.8972909154701005e+18
0.2,0.0,1.1339490803188991e+18,5.68357323888477e-17,0.05,1.1339490803188991e+18
0.2,2.0,1.3249403776045386e+18,5.68357323888477e-17,0.05,1.3249403776045386e+18
0.2,4.0,1.5685853062515167e+18,5.68357323888477e-17,0.05,1.5685853062515167e+18
0.2,6.0,1.8861790232847885e+18,5.68357323888477e-17,0.05,1.8861790232847885e+18
0.2,8.0,2.3109810277391626e+18,5.68357323888477e-17,0.05,2.3109810277391626e+18
0.2,10.0,2.897290915470207e+18,5.68357323888477e-17,0.05,2.897290915470207e+18
0.30000000000000004,0.0,1.133949080318899e+18,5.998128432493761e-17,2e+299,6.505468542273235e+301
0.30000000000000004,2.0,1.3249403776045384e+18,5.998128432493761e-17,2e+299,6.505468542273235e+301
0.30000000000000004,4.0,1.5685853062515162e+18,5.998128432493761e-17,2e+299,6.505468542273235e+301
0.30000000000000004,6.0,1.8861790232847885e+18,5.998128432493761e-17,2e+299,6.505468542273235e+301
0.30000000000000004,8.0,2.3109810277391626e+18,5.998128432493761e-17,2e+299,6.505468542273235e+301
0.30000000000000004,10.0,2.8972909154702065e+18,5.998128432493761e-17,2e+299,6.505468542273235e+301
0.4,0.0,1.1339490803188998e+18,4.391453048414086e-17,4e+299,1.301093708454647e+302
0.4,2.0,1.3249403776045394e+18,4.391453048414086e-17,4e+299,1.301093708454647e+302
0.4,4.0,1.5685853062515172e+18,4.391453048414086e-17,4e+299,1.301093708454647e+302
0.4,6.0,1.8861790232847898e+18,4.391453048414086e-17,4e+299,1.301093708454647e+302
0.4,8.0,2.310981027739164e+18,4.391453048414086e-17,4e+299,1.301093708454647e+302
0.4,10.0,2.8972909154702085e+18,4.391453048414086e-17,4e+299,1.301093708454647e+302
0.5,0.0,1.1339490803189014e+18,4.157473513318173e-18,4.5e+299,1.463730422011478e+302
0.5,2.0,1.3249403776045414e+18,4.157473513318173e-18,4.5e+299,1.463730422011478e+302
0.5,4.0,1.5685853062515197e+18,4.157473513318173e-18,4.5e+299,1.463730422011478e+302
0.5,6.0,1.8861790232847926e+18,4.157473513318173e-18,4.5e+299,1.463730422011478e+302
0.5,8.0,2.310981027739168e+18,4.157473513318173e-18,4.5e+299,1.463730422011478e+302
0.5,10.0,2.897290915470213e+18,4.157473513318173e-18,4.5e+299,1.463730422011478e+302
0.6,0.0,1.1339490803189005e+18,2.7601494232994335e-17,3.5e+299,1.1384569948978162e+302
0.6,2.0,1.3249403776045402e+18,2.7601494232994335e-17,3.5e+299,1.1384569948978162e+302
0.6,4.0,1.5685853062515185e+18,2.7601494232994335e-17,3.5e+299,1.1384569948978162e+302
0.6,6.0,1.886179023284791e+18,2.7601494232994335e-17,3.5e+299,1.1384569948978162e+302
0.6,8.0,2.3109810277391657e+18,2.7601494232994335e-17,3.5e+299,1.1384569948978162e+302
0.6,10.0,2.8972909154702106e+18,2.7601494232994335e-17,3.5e+299,1.1384569948978162e+302
