mu_g,b,Gamma_sch_ratio,Ecrit_ratio,Gamma_inst_mean,Gamma_total_ratio,enhancement_factor
0.05,0.0,1.0026205490208524,0.9991669443948469,0.10314665675170616,44823.99601471377,44706.83955010533
0.05,2.5,0.9635801848906603,0.9991669443948469,0.10314665675170616,44823.95697434963,46518.13899580751
0.05,5.0,0.9267764556325114,0.9991669443948469,0.10314665675170616,44823.920170620375,48365.40667191281
0.05,7.5,0.8920417176628674,0.9991669443948469,0.10314665675170616,44823.88543588241,50248.64257842128
0.05,10.0,0.8592237448960156,0.9991669443948469,0.10314665675170616,44823.85261790964,52167.8467153329
0.1625,0.0,1.0279385445722362,0.9912288489502349,0.10317320879315654,44835.55968030111,43616.96515520669
0.1625,2.5,0.9879123401195633,0.9912288489502349,0.10317320879315654,44835.51965409665,45384.10730720337
0.1625,5.0,0.9501792496444096,0.9912288489502349,0.10317320879315654,44835.481921006176,47186.34082757036
0.1625,7.5,0.9145673962573198,0.9912288489502349,0.10317320879315654,44835.446309152794,49023.66571630773
0.1625,10.0,0.8809207098865749,0.9912288489502349,0.10317320879315654,44835.41266246642,50896.08197341542
0.275,0.0,1.0815552712699172,0.9750444822512017,0.10322955672973524,44860.099628127435,41477.399093487445
0.275,2.5,1.0394413213229088,0.9750444822512017,0.10322955672973524,44860.05751417748,43157.85469937214
0.275,5.0,0.999740092956489,0.9750444822512017,0.10322955672973524,44860.01781294912,44871.680278707725
0.275,7.5,0.9622707442742426,0.9750444822512017,0.10322955672973524,44859.98034360044,46618.87583149421
0.275,10.0,0.9268690646726779,0.9750444822512017,0.10322955672973524,44859.94494192083,48399.44135773162
0.3875,0.0,1.1666409738306562,0.9509393246836833,0.10334615022808465,44910.85111224655,38495.863011550275
0.3875,2.5,1.1212139292004315,0.9509393246836833,0.10334615022808465,44910.80568520192,40055.51885823346
0.3875,5.0,1.0783894143984376,0.9509393246836833,0.10334615022808465,44910.762860687115,41646.145873696165
0.3875,7.5,1.0379723607381746,0.9509393246836833,0.10334615022808465,44910.72244363346,43267.74405793841
0.3875,10.0,0.9997856392060274,0.9509393246836833,0.10334615022808465,44910.684256911925,44920.313410960196
0.5,0.0,1.2881754741234688,0.9193953882637206,0.20690958287107852,89915.07848420681,69800.33410851032
0.5,2.5,1.2380160797020432,0.9193953882637206,0.20690958287107852,89915.0283248124,72628.32026095534
0.5,5.0,1.1907303329328116,0.9193953882637206,0.20690958287107852,89914.98103906563,75512.46369747027
0.5,7.5,1.1461028439028917,0.9193953882637206,0.20690958287107852,89914.93641157661,78452.76441805516
0.5,10.0,1.1039380312327387,0.9193953882637206,0.20690958287107852,89914.89424676393,81449.22242271001
